material_id,predict_Band_gap_HSE
mp-863066,2.664406814
mp-996962,2.180228425
mp-996983,1.83098625
mp-999471,2.697785119
mvc-5260,1.984141714
mp-1037188,2.288833386
mp-1096940,2.788433378
mp-1100379,2.262167003
mp-1101551,2.211131742
mp-1114070,2.13905006
mp-1174297,2.185652017
mp-1174346,2.236544747
mp-1175292,1.805467903
mp-1175607,1.75895027
mp-1175790,1.935849664
mp-1176159,1.9379762
mp-1176404,2.149417825
mp-1180493,2.920202581
mp-1196211,1.841001983
mp-1199113,1.711054011
mp-1202611,2.601789628
mp-1213397,2.062998298
mp-1214148,2.345610225
mp-1214206,1.846487533
mp-1219863,1.893196286
mp-1220497,1.729703042
mp-1223953,1.785066667
mp-1228423,2.657668297
mp-1232304,2.485971142
mp-12451,1.953396333
mp-1247282,2.196427706
mp-1273584,2.167970472
mp-1314918,1.859509746
mp-1652471,1.839793258
mp-19080,2.791178672
mp-23336,2.480202892
mp-28983,2.2689839
mp-29311,2.199119914
mp-30236,1.830590167
mp-554820,2.948101706
mp-556560,1.730363711
mp-558572,2.072846052
mp-558831,2.032595158
mp-559251,2.155199628
mp-559754,2.928665164
mp-559994,2.248712494
mp-561434,2.5411035
mp-561940,2.358977114
mp-619611,2.042540408
mp-680303,2.286605111
mp-699498,1.833456631
mp-752494,2.238108389
mp-753347,1.727751825
mp-754944,2.293342419
mp-756473,2.943316594
mp-758269,1.979783453
mp-758596,2.9437916
mp-759466,2.113988461
mp-759497,1.830070525
mp-759632,2.938423747
mp-764722,2.590366753
mp-766935,2.316963008
mp-768842,2.203739247
mp-774681,1.920731194
mp-776073,2.529795514
mp-779090,2.211759481
mp-780312,2.173214286
mp-850257,2.407048089
mp-1026034,1.893283464
mp-1038483,2.263928503
mp-1080730,2.799861075
mp-1096640,2.190835044
mp-11606,1.794202581
mp-1175225,2.738261017
mp-1175789,1.785897406
mp-1178549,2.745818989
mp-1179087,1.749710869
mp-1181353,2.238365756
mp-1182980,2.892446811
mp-1196961,1.808250314
mp-1200138,2.476027631
mp-1200667,2.807918183
mp-1202825,2.883161922
mp-1205438,2.148772731
mp-1206848,1.733602811
mp-1210473,1.894385164
mp-1214728,1.726864517
mp-1232076,2.359042178
mp-1245675,2.280712881
mp-1278008,1.748645939
mp-12902,2.03164385
mp-1311449,2.847933211
mp-14651,1.95676255
mp-1639032,1.829799392
mp-1664575,2.011293214
mp-23333,2.614640253
mp-27146,2.357265306
mp-28836,2.893275781
mp-30248,1.750137683
mp-31614,2.126390886
mp-31627,2.670488614
mp-549475,2.404351003
mp-559638,2.20633385
mp-559984,2.1842988
mp-561954,2.203138814
mp-581967,2.909608478
mp-667342,2.568221781
mp-674325,2.264995214
mp-694547,1.920146975
mp-697905,1.816923544
mp-753067,2.010776506
mp-755745,2.349022928
mp-756906,2.105153403
mp-757380,2.233930239
mp-759003,2.512503631
mp-759011,1.903753208
mp-759362,2.596116711
mp-759912,2.000892814
mp-760038,2.032051892
mp-760664,2.423600794
mp-760798,2.809003819
mp-766433,2.444480806
mp-766789,2.181608189
mp-769592,2.340176569
mp-774823,2.822398558
mp-775918,2.249005619
mp-862780,2.708320592
mp-866291,2.115767953
mp-975422,2.868601228
mp-9910,2.197293283
mp-995203,2.680009972
mp-998412,2.959110744
mvc-20,2.283141636
mp-1038514,2.021467119
mp-1095055,2.978716183
mp-1114286,2.08838343
mp-1174000,1.712307703
mp-1174444,1.725446808
mp-1174872,2.570729189
mp-1182625,2.760917578
mp-1190454,2.925405383
mp-1194545,2.614341539
mp-1195582,2.883014806
mp-1197129,2.823479447
mp-1202624,2.012991603
mp-1209668,2.092584236
mp-1210343,1.885110301
mp-1216508,2.662077031
mp-1226259,2.435882794
mp-1227147,2.224460578
mp-1228843,2.477314617
mp-1247300,1.803538408
mp-12535,2.942525881
mp-1279201,2.257165933
mp-1573704,1.9057269
mp-17401,1.847627967
mp-18637,1.800157561
mp-19765,1.708216675
mp-23114,1.789020697
mp-25303,1.822913886
mp-27411,2.145157269
mp-27687,2.413721731
mp-510075,1.926463956
mp-561012,2.0965463
mp-626829,2.819894111
mp-640324,1.963481342
